Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_center_link,5.55111512312578E-17,2.59827358795039E-08,-0.104495300597776,0,0,0,13.0396243672139,0.389115967188405,-7.45634733968731E-11,1.78933374846536E-17,0.339302872778393,4.52332662970759E-09,0.0651950719995572,0,0,0,0,0,0,package://robot24/meshes/body_center_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot24/meshes/body_center_link.STL,,肩膀螺桿連接-4;body-1;肩膀螺桿連接-3;螺桿滑軌-1;螺桿滑軌-2;H54-200-S500-R-1;H54-200-S500-R-2;肩膀螺桿連接-2;肩膀螺桿連接-1;肩膀上下平面-1;肩膀上下平面-2,body_center_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_link0,-4.16333634234434E-16,-0.0229597483705795,0.000646096394693332,0,0,0,0.412680624747637,0.000559131857809874,5.31236202076157E-18,-2.14828755458186E-18,0.0001701492977576,-3.71123408661124E-09,0.000561872209013165,0,0,0,0,0,0,package://robot24/meshes/right_link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot24/meshes/right_link0.STL,,肩膀-1;circle-1;H54-200-S500-R-3;肩膀身體固定-1;肩膀-2;肩膀手臂旋轉連接-1,right_link0,right_axis0,right_joint0,revolute,0,-0.175,0,0,0,0,body_center_link,0,0,-1,0,0,-2.0944,2.0944,,,,,,,,
right_link1,-0.00157364442229385,-4.53820839990682E-07,0.120609747634796,0,0,0,0.377437989532721,0.000162640767916205,2.25656207844963E-09,-1.17002364582762E-11,0.000533864581487071,2.44371261580726E-15,0.000541624442500584,0,0,0,0,0,0,package://robot24/meshes/right_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot24/meshes/right_link1.STL,,第一軸接第二軸-2;H54-200-S500-R-5;FRP54-I110K-1,right_link1,right_axis1,right_joint1,revolute,0,0,0,1.5708,0,0,right_link0,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
right_link2,0.0377194795499749,-5.55111512312578E-16,-9.26733222467169E-07,0,0,0,0.0691597567732569,6.67222656482244E-05,-3.47401144494759E-20,-9.55075564056663E-20,6.79392749473839E-05,2.04927160676218E-21,3.61673066803696E-05,0,0,0,0,0,0,package://robot24/meshes/right_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot24/meshes/right_link2.STL,,200連接平面_半圓形-1;第二軸ㄇ形平面-1;200連接平面_半圓形-2,right_link2,right_axis2,right_joint2,revolute,0,0,0.12304,1.5708,0,-1.5708,right_link1,0,0,1,0,0,-0.7854,3.1416,,,,,,,,
right_link3,-0.000932625169109857,-0.000238522400611757,-0.190441574107347,0,0,0,0.320205690352154,0.000179803091705952,2.61093134280658E-10,5.45586187220336E-11,0.000234503721195447,-2.73784467152018E-06,0.000143910308996194,0,0,0,0,0,0,package://robot24/meshes/right_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot24/meshes/right_link3.STL,,H42-20-S300-R-2;第三軸延伸-1;第三軸延伸-2;三四軸之間鋁脊加固件-1;第三軸延伸接第四軸平面-1;第四軸平面-1;FRP42-I110K-1;H42-20-S300-R-3,right_link3,right_axis3,right_joint3,revolute,0,0,0,-1.5708,0,1.5708,right_link2,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
right_link4,-0.00846337358017921,-0.136452976145238,-1.75282801506693E-06,0,0,0,0.166932002867673,0.000120480530868548,3.52888312097071E-07,2.3884745367165E-09,6.35390339073307E-05,2.14772556360819E-09,0.000138520550930095,0,0,0,0,0,0,package://robot24/meshes/right_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot24/meshes/right_link4.STL,,第四軸接平面V2-1;第四軸接平面V2-2;第四軸延長接第五軸-1;第四軸延長接第五軸-2;四五軸之間鋁脊加固件-1;EX106P_H-1;第五軸托盤-1;第四軸ㄇ接延長-2;第四軸ㄇ平面-1,right_link4,right_axis4,right_joint4,revolute,0,0,-0.27,1.5708,0,1.5708,right_link3,0,0,1,0,0,-2.3562,2.3562,,,,,,,,
right_link5,-4.46864767411626E-15,2.66453525910038E-15,0.217966889784756,0,0,0,0.0282301710311228,1.50504196984548E-05,1.84812773718936E-19,5.11656051345591E-20,6.82507232365171E-06,1.30869238210601E-19,1.64366235285412E-05,0,0,0,0,0,0,package://robot24/meshes/right_link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot24/meshes/right_link5.STL,,第六軸ㄇ平面-1;第四軸接平面V2-5;第四軸接平面V2-6,right_link5,right_axis5,right_joint5,revolute,0,0,0,1.5708,0,0,right_link4,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
right_link6,-6.2309132126126E-07,0.00506670701069378,-0.00171023670300374,0,0,0,0.175756007124877,0.000105527032042113,-1.41748591277276E-14,6.37858609324216E-10,0.000119499450919167,-4.98454513144871E-12,5.32497253827401E-05,0,0,0,0,0,0,package://robot24/meshes/right_link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot24/meshes/right_link6.STL,,H42-20-S300-R-5;FRP42-I110K-3;20連接force片v2-1,right_link6,right_axis6,right_joint6,revolute,0,0,0.25,1.5708,0,0,right_link5,0,0,1,0,0,-2.3562,2.3562,,,,,,,,
left_link0,3.33066907387547E-16,0.0229597483705796,0.000646096394693318,0,0,0,0.412680624747637,0.000559131857809874,5.34634902908114E-18,2.13896796734958E-18,0.0001701492977576,3.71123408652218E-09,0.000561872209013166,0,0,0,0,0,0,package://robot24/meshes/left_link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot24/meshes/left_link0.STL,,circle-2;肩膀-3;H54-200-S500-R-4;肩膀手臂旋轉連接-2;肩膀身體固定-2;肩膀-4,left_link0,left_axis0,left_joint0,revolute,0,0.175,0,0,0,0,body_center_link,0,0,-1,0,0,-2.0944,2.0944,,,,,,,,
left_link1,-0.00157364442229341,-4.53820839407815E-07,-0.120609747634796,0,0,0,0.377437989532721,0.000162640767916205,2.25656207872998E-09,1.17002466802613E-11,0.000533864581487072,2.44372020557268E-15,0.000541624442500586,0,0,0,0,0,0,package://robot24/meshes/left_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot24/meshes/left_link1.STL,,第一軸接第二軸-1;FRP54-I110K-2;H54-200-S500-R-6,left_link1,left_axis1,left_joint1,revolute,0,0,0,1.5708,0,0,left_link0,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
